name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,injured games
Bruno Gama,90.0,0.4591836734693878,0.0,57.869260204081634,27.791454081632647,0.4591836734693878,0.0,0.0,0.0,0.0,0.34375,7.959183673469387,0.0,32.431122448979586,45.33035714285714,70.375,175.40242346938774,46.12117346938776,84.28571428571429,1.7091836734693877,1.7091836734693877,6
Bruno Gaspar,90.0,0.06666666666666668,0.0,86.50169526036396,20.24775039202284,3.1753273042746724,1.8011278195488722,1.5538461538461539,0.0,0.0,0.09476190476190477,2.324185463659148,0.2,61.13042849823035,75.632095664913,78.42,391.88794275899534,52.24970937215519,155.02840956772846,1.2309523809523808,1.7172268907563024,0
Bruno Martella,90.0,0.7850574712643678,0.16666666666666666,59.659689359067535,8.454033755955745,0.6761904761904761,1.7926108374384238,2.185961937064255,0.029999999999999995,0.029999999999999995,0.08000000000000003,1.3777517564402808,0.13333333333333333,33.67886887937764,48.47142318770357,68.84666666666666,351.5802578804275,31.86326953619209,117.24828932138144,0.7158469945355191,1.4929419365258825,0
Bruno Martins Indi,90.0,0.2352941176470588,0.0,43.43456529498354,4.8931437987165545,0.9148606811145512,1.2965867884087403,1.2891164562991186,0.029411764705882363,0.029411764705882363,0.005882352941176471,0.304953560371517,0.05882352941176471,24.822000915931635,35.31037154738889,75.68823529411766,152.54850454304278,15.942218279066225,34.839293163581964,0.0,0.0,0
Bruno Peres,90.0,1.5887533875338753,1.3611111111111112,75.57945092969895,12.578544670972672,2.5182066503204714,3.590918602218037,2.248505365737004,0.1427506775067751,0.1427506775067751,0.12204585537918873,2.131393298059965,0.05555555555555555,50.20404291277243,65.18224130250451,79.96666666666667,348.88616336862856,50.415403153897024,224.65351133333766,1.0274659095797307,1.4326149610702457,4
Bruno Petkovic,90.0,1.6730225184172554,0.6577380952380952,47.290893762912425,14.27291401088894,1.2184493269052092,1.0978357501925124,0.5294243748191115,0.11642743221690592,0.11642743221690592,0.14842157208410586,3.3351237579680877,0.22118506493506493,19.926719402372886,28.680032576916272,67.28333333333333,63.3678545951369,37.70003956869577,110.20420177843658,4.7280599291783005,7.176409748634884,0
Bruno Zuculini,90.0,0.6217032967032967,0.125,62.703621589085074,24.950213760958142,4.940142301518706,3.35268706013088,2.553549049265341,0.07342032967032969,0.07342032967032969,0.0,0.8137138844301766,0.12570224719101125,41.528479596246456,49.118347172490424,83.50625000000002,210.92152117545373,36.11483284973454,64.1637779355476,0.40625,0.53125,0
Bryan Cristante,90.0,2.508038149849888,0.6751785246964903,63.08471372326494,26.95248220270991,2.116472674244639,0.6974589730083693,1.5519220159246316,0.2897362474270711,0.2686836158481238,0.12499623434070105,2.580203242857096,0.16539951930151564,37.77227836245428,49.32530297375597,75.20526315789473,208.62101229805145,46.68621249989204,109.045165607334,1.789027539235427,2.346905265224608,0
Bryan Dabo,90.0,1.046064694798872,0.2774725274725275,59.40189082877578,14.146395454040933,1.261224534958712,1.2918750940529524,1.4522177522677189,0.17335164835164835,0.11181318681318683,0.049587912087912085,1.7472662710004483,0.15920155793573515,35.33755274165978,45.72606248270174,74.4576923076923,141.3620607451875,40.02029721301643,118.87016446538547,1.7034143035142368,2.5814668065667403,10
Bryan Mbeumo,90.0,4.821428571428571,2.25,66.85714285714286,40.60714285714286,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,19.5,37.5,54.725,90.53571428571428,40.17857142857143,180.2142857142857,1.0714285714285714,2.6785714285714293,0
Burgui,90.0,1.1903837050406942,0.3086023556324265,49.318372342967436,17.403870341550114,1.33003690951465,0.49351086388372706,0.9927635293768016,0.08983160141307671,0.08983160141307671,0.1742603792088918,4.408607807750582,0.156276457298223,31.681758602865486,39.893695463540794,77.24347826086957,170.10813169176157,42.56730464548963,142.52744628982163,2.5642956317358725,2.9425773845569125,0
Caiuby,90.0,2.4708152849427925,0.8512396694214875,47.76438709989668,20.343591037678692,1.367816091954023,0.7873336059243106,1.6022436924943415,0.14718773775724167,0.14718773775724167,0.12765270257433267,2.2727101121770623,0.3939393939393939,22.199263015448395,33.50944292723851,66.42424242424242,115.19696355989157,30.05719559030868,112.44377857631538,1.4675678689580829,2.285749687139901,29
Caleb Stanko,90.0,0.3082191780821918,0.0,77.13511830635119,21.826587795765878,2.433219178082192,2.433219178082192,1.1746575342465753,0.0,0.0,0.0,0.0,0.0,41.18524283935242,49.12546699875468,85.125,192.06506849315068,41.72369240348692,86.86301369863014,0.6164383561643836,0.6164383561643836,0
Callum Wilson,90.0,2.7826279463971835,0.8040204681077026,33.38862276496611,20.46555169539414,0.9875576036866359,0.2815889148412348,1.0805418396804078,0.4273890431201148,0.4273890431201148,0.059711494775102236,1.9171882763968795,0.25210084033613445,14.379136519487574,20.162806274202,72.10357142857143,35.54488102467487,23.016283347604908,73.76745087531245,1.5036691159605111,2.2741181140527806,15
