,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
103,Mats-Hummels-,Matchweek 22,90,0,0,69,7,3,4,1,0.0,0.0,0.0,1,1,46,56,82.1,354,46,135,1,1
104,Mats-Hummels-,Matchweek 23,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
105,Mats-Hummels-,Round of 16,90,6,2,,,,2,,,,,,,,,,,,,,
106,Mats-Hummels-,Matchweek 24,90,1,0,140,2,1,1,0,0.0,0.0,0.2,2,0,115,129,89.1,949,111,496,0,0
107,Mats-Hummels-,Matchweek 25,90,0,0,96,5,1,3,1,0.0,0.0,0.0,0,0,73,84,86.9,579,66,314,0,1
108,Mats-Hummels-,Matchweek 26,90,1,0,106,7,2,1,2,0.2,0.2,0.0,1,0,89,97,91.8,801,70,108,0,0
109,Mats-Hummels-,Round of 16,45,1,0,,,,0,,,,,,,,,,,,,,
110,Mats-Hummels-,Matchweek 27,90,3,1,85,10,4,2,5,0.5,0.5,0.0,0,0,53,70,75.7,557,48,170,0,1
111,Mats-Hummels-,Friendlies (M),90,,,,,,,,,,,,,,,,,,,,
112,Mats-Hummels-,Friendlies (M),"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
113,Mats-Hummels-,Matchweek 28,90,1,0,81,12,5,2,3,0.2,0.2,0.0,1,0,67,69,97.1,540,58,252,0,0
114,Mats-Hummels-,Quarter-finals,90,1,0,,,,2,,,,,,,,,,,,,,
115,Mats-Hummels-,Matchweek 29,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
116,Mats-Hummels-,Quarter-finals,90,1,0,,,,0,,,,,,,,,,,,,,
117,Mats-Hummels-,Matchweek 30,90,0,0,108,12,5,3,0,0.0,0.0,0.0,1,0,88,95,92.6,699,88,315,2,2
118,Mats-Hummels-,Semi-finals,90,0,0,,,,1,,,,,,,,,,,,,,
119,Mats-Hummels-,Matchweek 31,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
120,Mats-Hummels-,Semi-finals,90,2,0,,,,1,,,,,,,,,,,,,,
121,Mats-Hummels-,Matchweek 32,90,0,0,86,4,8,2,1,0.0,0.0,0.0,3,1,62,69,89.9,498,51,309,1,1
122,Mats-Hummels-,Semi-finals,90,4,1,,,,1,,,,,,,,,,,,,,
123,Mats-Hummels-,Matchweek 33,90,0,0,77,7,2,3,2,0.0,0.0,0.0,1,0,57,62,91.9,439,45,125,0,1
