,0
Alessandro Bellemo,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Christian Rutjens,"['not in squad', 'not in squad', '\xa0Yellow card suspension', 'With the pros', 'With the pros', 'not in squad', 'not in squad']"
Devid Eugene Bouah,[]
Federico Fazio,['not in squad']
Cengiz Ünder,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hip problems', '\xa0Yellow card suspension']"
Lorenzo Spurio,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Christopher Oikonomidis,"['not in squad', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad']"
Armando Izzo,"['\xa0Bruise', '\xa0Yellow card suspension', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court']"
Senna Miangue,"['not in squad', 'not in squad', 'With U19', 'not in squad', 'not in squad', 'not in squad', 'With U19', 'not in squad', 'With U19', 'With U19', 'With U19', 'With U19', 'With U19', '\xa0Distortion of the ankle', '\xa0Distortion of the ankle']"
Alessandro Guarnone,"['not in squad', 'not in squad', '\xa0Red card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Alessandro Fiordaliso,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Álex Berenguer,"['\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', 'not in squad', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Knock', '\xa0Knock', 'not in squad', 'not in squad']"
Giacomo Bonaventura,"['\xa0Thigh Problems', '\xa0Thigh Problems', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors', '\xa0Pulled hamstring at the adductors']"
Jorginho,['\xa0Yellow card suspension']
Daniele Rugani,"['not in squad', '\xa0Sideband injury', '\xa0Sideband injury', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', 'not in squad', '\xa0Sideband injury', '\xa0Sideband injury', 'not in squad', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems', '\xa0Knee Problems']"
Stevan Jovetic,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Mattia Perin,"['\xa0Red card suspension', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
Manuel De Luca,['With the pros']
Tommaso Pobega,['not in squad']
Leonardo Merio,"['not in squad', 'not in squad', 'not in squad', 'International match', 'International match']"
Lorenzo Bruzzi,[]
Valter Birsa,"['not in squad', 'not in squad', '\xa0Yellow card suspension']"
Mario Mandzukic,"['\xa0Muscular problems', '\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad']"
Gianluca Volzone,"['not in squad', 'With U19']"
Pasquale Schiattarella,"['not in squad', '\xa0Yellow card suspension', 'not in squad', '\xa0Yellow card suspension']"
Marash Kumbulla,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Miguel Veloso,"['\xa0Red card suspension', '\xa0Red card suspension', '\xa0Yellow card suspension', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Unknown Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', '\xa0Unknown Injury']"
Gaetano Letizia,"['not in squad', '\xa0Yellow card suspension']"
Giacomo Poluzzi,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Gianluca Lapadula,['\xa0Unknown Injury']
José Luis Palomino,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'no information available', 'no information available']"
Bruno Gaspar,"['\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'no information available']"
Giuseppe Cuomo,"['not in squad', 'With U19', 'With U19', 'With U19', 'not in squad', 'not in squad', 'With U19', 'not in squad', 'With U19', 'With U19', 'With U19', 'not in squad', 'With U19', 'With U19', 'With U19', 'not in squad', 'With U19', 'With U19', 'With U19', 'not in squad', 'With U19', 'With U19', 'With U19', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Federico Peluso,"['\xa0Yellow card suspension', '\xa0Yellow card suspension']"
Giancarlo González,"['\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Tear in the abductor muscle', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Yellow card suspension', 'not in squad', '\xa0Knee Injury']"
Alex Meret,"['International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Broken wrist', '\xa0Broken wrist', '\xa0Broken wrist', '\xa0Broken wrist', 'not in squad', 'International match']"
Wallace,[]
Salvatore Elia,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
