,0
Luke Garbutt,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
James Morrison,"['not in squad', 'With the U21s', 'not in squad']"
Jack Cork,"['\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad']"
Aiden O'Neill,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'not in squad']"
Joe Willock,"['With the 2nd team', 'not in squad']"
Jürgen Locadia,"['\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0groin strain', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0groin strain', '\xa0groin strain']"
Jérémy Pied,"['\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery']"
Pedro,['\xa0Yellow card suspension']
Lewis Cook,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', '\xa0Ankle Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match']"
Saido Berahino,"['With the U21s', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', 'Doping ban', 'Doping ban', 'Doping ban', 'Doping ban', 'Doping ban', 'Doping ban', 'Doping ban', 'Doping ban', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', 'not in squad', '\xa0Fitness']"
Luka Milivojevic,"['not in squad', 'not in squad', 'With the pros', 'not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad']"
Patrice Evra,"['\xa0Sprain', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', '\xa0Hamstring Injury']"
Fousseni Diabaté,[]
Steven Defour,"['not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', 'not in squad']"
