0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Josh Sims,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,,not in squad,With the U21s,With the U21s,not in squad,,,,,not in squad,,,,,not in squad,
Hal Robson-Kanu,,,not in squad,not in squad,,,, Strain, Strain,,,,,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,not in squad,not in squad,not in squad,,,,
Ahmed Musa,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,,not in squad,With the 2nd team,With the 2nd team,,,,,,,,,,,,,,
Alex McCarthy, Hamstring Injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sead Kolasinac,,,,,,,,,,,,,,,,,,,,,, Ankle problems,,,,,,,,,,,,,not in squad,,,
Matthew Pennington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Jones,,,,,,,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,not in squad,,,,,,,,,,,not in squad,, Hamstring Injury, Hamstring Injury, Hamstring Injury,, Hamstring Injury, Hamstring Injury,,,not in squad,not in squad,
Ramadan Sobhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,not in squad
Max Sanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Darmian,,not in squad,,,,not in squad,,,,,,not in squad,not in squad,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,not in squad,not in squad,not in squad,not in squad,,not in squad,,
