0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Philipp Köhn,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Thomas Kraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Influenza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Blockade in the spinal,0,0
Luca Caldirola,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0, Bruised Foot, Bruised Foot, Bruised Foot,0,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,not in squad, Ankle problems,0,0,not in squad
Maximilian Philipp,0,0,0,0,0,0,0,0,0, Rest ,not in squad,0,0,0, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation, Patella tendon luxation,0,0,0,0,0,0,0,0,0,0
Simon Lorenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Kessler, Finger Injury, Finger Injury,0,0,0,0,0,0,0,0,0,0,0,0, Knee Problems, Knee Problems, Knee Problems,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0
Leon Bailey,0,0,0,0,0,0,0,0,0,0,0,0, Infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niko Bungert, Calf muscle strain, Calf muscle strain,0, Fitness, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Fitness, Fitness, Fitness,0, Fitness, Fitness, Fitness, Fitness, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0, Muscular problems, Muscular problems,0, Muscular problems, Muscular problems, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0
Mohamed Dräger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team
Tatsuya Ito,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,0,0,0,0,0,0,0,0
Kevin Kampl,0,0,0,0,0, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Rest ,0,0, Knee Problems,0,0,0,0,0,0,0,0
Justin Möbius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timothy Chandler,0,0,0,0,0,0,0,0,0, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Fitness,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,not in squad
Davie Selke, Marrow bulge, Marrow bulge, Marrow bulge, Marrow bulge, Marrow bulge, Marrow bulge, Marrow bulge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederik Sörensen,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0, Nasal Bone Fracture,0,0,0,0,0,0,0
Jean-Philippe Gbamin, Thigh Problems, Thigh Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Thigh Muscle Strain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Plattenhardt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0
Paul Verhaegh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Influenza,0,0,0,0,0,0,0,0,0, Yellow card suspension,0
