0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Oliver Burke,,,,,not in squad,not in squad,With the U21s,not in squad, Thigh Problems, Thigh Problems,With the U21s,,,,,,,,,not in squad,,,not in squad,not in squad,,,,,,,,,,,,,not in squad,
Reece Burke,,,,,,,,,,,,,,,,,,,,,With the pros,With the pros,,,not in squad,,,,,,,,,,,,,
Matt Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Butland,,,,,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,,,,,,,,,,,,,,,,,
George Byers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Byram,,,With the U21s,,not in squad,,,With the U21s,,not in squad, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain, Thigh Muscle Strain,,,,,,, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury
Willy Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohan Cabaye, Foot Injury,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,not in squad,not in squad,not in squad,,,,,,,,
Gary Cahill,, Red card suspension, Red card suspension, Red card suspension,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,
Dominic Calvert-Lewin,,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,not in squad,, Back Injury, Back Injury, Back Injury
Geoff Cameron,,,,,not in squad,not in squad,,,,not in squad, Concussion, Concussion, Concussion, Concussion, Concussion,,,,,,,,not in squad,,,,,,,,not in squad,,,,,,,
Tyrese Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emre Can,,,,,,,,,,,,,not in squad,,,,, Yellow card suspension,,,,,,,,,,,,,, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury, Back Injury
Étienne Capoue,,,,,,,,,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,,,,,not in squad
Baily Cargill,not in squad,,,,,,,,,,,,,,,,,,,,,,With the pros,not in squad,,,,,,,,,,,,,,
